epoch=337 gen_loss=0.0171 critic_loss=-20.1588 gp=0.5743
epoch=338 gen_loss=-0.0577 critic_loss=-20.4115 gp=0.5840
epoch=339 gen_loss=0.1685 critic_loss=-20.4097 gp=0.5806
epoch=340 gen_loss=-0.0872 critic_loss=-20.2592 gp=0.5778
epoch=341 gen_loss=0.2004 critic_loss=-20.4568 gp=0.5880
epoch=342 gen_loss=0.1074 critic_loss=-20.3443 gp=0.5806
epoch=343 gen_loss=-0.1142 critic_loss=-20.4606 gp=0.5843
epoch=344 gen_loss=0.3253 critic_loss=-20.4044 gp=0.5863
epoch=345 gen_loss=0.1149 critic_loss=-20.3886 gp=0.5806
epoch=346 gen_loss=-0.1510 critic_loss=-20.4905 gp=0.5876
epoch=347 gen_loss=0.0513 critic_loss=-20.5976 gp=0.5920
epoch=348 gen_loss=0.3878 critic_loss=-20.5417 gp=0.5894
epoch=349 gen_loss=0.0366 critic_loss=-20.4595 gp=0.5915
epoch=350 gen_loss=-0.1541 critic_loss=-20.6182 gp=0.5848
epoch=351 gen_loss=0.3001 critic_loss=-20.5513 gp=0.5959
epoch=352 gen_loss=-0.0123 critic_loss=-20.6151 gp=0.5952
epoch=353 gen_loss=0.3777 critic_loss=-20.6585 gp=0.5988
epoch=354 gen_loss=-0.2612 critic_loss=-20.6269 gp=0.5907
epoch=355 gen_loss=0.3992 critic_loss=-20.6932 gp=0.5969
epoch=356 gen_loss=-0.1407 critic_loss=-20.7154 gp=0.5953
epoch=357 gen_loss=0.5131 critic_loss=-20.8086 gp=0.6017
epoch=358 gen_loss=-0.0354 critic_loss=-20.5090 gp=0.5934
epoch=359 gen_loss=0.0692 critic_loss=-20.8581 gp=0.6050
epoch=360 gen_loss=0.0641 critic_loss=-20.7875 gp=0.6015
epoch=361 gen_loss=0.0624 critic_loss=-20.7313 gp=0.5974
epoch=362 gen_loss=-0.1960 critic_loss=-20.7575 gp=0.5971
epoch=363 gen_loss=0.3296 critic_loss=-20.7656 gp=0.6053
epoch=364 gen_loss=0.0257 critic_loss=-20.8359 gp=0.6013
epoch=365 gen_loss=0.0779 critic_loss=-20.8652 gp=0.6008
epoch=366 gen_loss=0.2515 critic_loss=-20.8277 gp=0.6031
epoch=367 gen_loss=0.4382 critic_loss=-21.0193 gp=0.6082
epoch=368 gen_loss=-0.0075 critic_loss=-20.8324 gp=0.6143
epoch=369 gen_loss=0.1236 critic_loss=-20.9228 gp=0.6036
epoch=370 gen_loss=0.2567 critic_loss=-21.0622 gp=0.6123
epoch=371 gen_loss=0.2337 critic_loss=-21.0636 gp=0.6105
epoch=372 gen_loss=-0.0795 critic_loss=-20.9792 gp=0.6147
epoch=373 gen_loss=0.0500 critic_loss=-21.0357 gp=0.6096
epoch=374 gen_loss=-0.1413 critic_loss=-21.0469 gp=0.6138
epoch=375 gen_loss=0.2075 critic_loss=-21.1256 gp=0.6174
epoch=376 gen_loss=0.0503 critic_loss=-20.9170 gp=0.6077
epoch=377 gen_loss=0.4113 critic_loss=-21.2401 gp=0.6127
